platform,year,depthmin,depthmax,Item,AvgMax,hard%,hardmm,soft%,softmm,Remarks
K9-B,2006,-34.5,-34.5,Level 2,A,,,,,
K9-B,2006,-34.5,-34.5,Conductor Field ,A,,,,,
K9-B,2004,3.0,-12.0,Rows and Elevations,A,63.0,75.0,28.0,60.0,Marine Growth Removal 
K9-B,2004,3.0,-12.0,Risers,A,60.0,80.0,20.0,60.0,Marine Growth Removal 
K9-B,2004,3.0,-12.0,Caissons,A,65.0,60.0,30.0,60.0,Marine Growth Removal 
K9-B,2004,3.0,-12.0,Conductors,A,60.0,80.0,30.0,60.0,Marine Growth Removal 
K9-B,2004,-12.0,-34.5,Rows and Elevations,A,0.0,0.0,84.0,56.0,
K9-B,2004,-12.0,-34.5,Risers,A,0.0,0.0,90.0,56.0,
K9-B,2004,-12.0,-34.5,Caissons,A,0.0,0.0,75.0,61.0,
K9-B,2004,-12.0,-34.5,Conductors,A,0.0,0.0,97.0,49.0,
K9-B,2004,3.0,-12.0,Rows and Elevations,M,90.0,80.0,80.0,60.0,Marine Growth Removal 
K9-B,2004,3.0,-12.0,Risers,M,100.0,80.0,40.0,60.0,Marine Growth Removal 
K9-B,2004,3.0,-12.0,Caissons,M,100.0,60.0,60.0,60.0,Marine Growth Removal 
K9-B,2004,3.0,-12.0,Conductors,M,100.0,80.0,60.0,60.0,Marine Growth Removal 
K9-B,2004,-12.0,-34.5,Rows and Elevations,M,0.0,0.0,95.0,70.0,
K9-B,2004,-12.0,-34.5,Risers,M,0.0,0.0,100.0,60.0,
K9-B,2004,-12.0,-34.5,Caissons,M,0.0,0.0,80.0,70.0,
K9-B,2004,-12.0,-34.5,Conductors,M,0.0,0.0,100.0,60.0,
K9-B,2004,3.0,0.0,Row 1,A,90.0,80.0,0.0,0.0,Marine Growth Removal 
K9-B,2004,3.0,0.0,Row 2,A,90.0,80.0,0.0,0.0,Marine Growth Removal 
K9-B,2004,3.0,0.0,Row A,A,90.0,80.0,0.0,0.0,Marine Growth Removal 
K9-B,2004,3.0,0.0,Row B,A,90.0,80.0,0.0,0.0,Marine Growth Removal 
K9-B,2004,0.0,-12.0,Row 1,A,60.0,50.0,30.0,60.0,Marine Growth Removal 
K9-B,2004,0.0,-12.0,Row 2,A,60.0,60.0,30.0,60.0,Marine Growth Removal 
K9-B,2004,0.0,-12.0,Row A,A,60.0,60.0,30.0,60.0,Marine Growth Removal 
K9-B,2004,0.0,-12.0,Row B,A,60.0,60.0,30.0,60.0,Marine Growth Removal 
K9-B,2004,-12.0,-34.5,Row 1,A,0.0,0.0,95.0,70.0,
K9-B,2004,-12.0,-34.5,Row 2,A,0.0,0.0,90.0,70.0,
K9-B,2004,-12.0,-34.5,Row A,A,0.0,0.0,90.0,50.0,
K9-B,2004,-12.0,-34.5,Row B,A,0.0,0.0,70.0,50.0,
K9-B,2004,-12.0,-12.0,Level 1 ,A,15.0,60.0,80.0,60.0,Marine Growth Removal 
K9-B,2004,-12.0,-12.0,Conductor Field,A,10.0,70.0,80.0,60.0,Marine Growth Removal 
K9-B,2004,-34.5,-34.5,Level 2,A,0.0,0.0,80.0,40.0,
K9-B,2004,-34.5,-34.5,Conductor Field ,A,0.0,0.0,80.0,50.0,
K9-B,2002,3.0,-12.0,Rows and Elevations,A,59.0,65.0,4.0,43.0,
K9-B,2002,3.0,-12.0,Risers,A,50.0,52.0,3.0,30.0,
K9-B,2002,3.0,-12.0,Caissons,A,80.0,70.0,3.0,40.0,
K9-B,2002,3.0,-12.0,Conductors,A,69.0,73.0,3.0,30.0,
K9-B,2002,-12.0,-34.5,Rows and Elevations,A,0.0,0.0,58.0,92.0,
K9-B,2002,-12.0,-34.5,Risers,A,0.0,0.0,35.0,76.0,
K9-B,2002,-12.0,-34.5,Caissons,A,0.0,0.0,30.0,55.0,
K9-B,2002,-12.0,-34.5,Conductors,A,0.0,0.0,62.0,45.0,
K9-B,2002,3.0,-12.0,Rows and Elevations,M,100.0,80.0,10.0,50.0,
K9-B,2002,3.0,-12.0,Risers,M,90.0,70.0,5.0,30.0,
K9-B,2002,3.0,-12.0,Caissons,M,100.0,80.0,10.0,40.0,
K9-B,2002,3.0,-12.0,Conductors,M,100.0,80.0,5.0,40.0,
K9-B,2002,-12.0,-34.5,Rows and Elevations,M,0.0,0.0,60.0,110.0,
K9-B,2002,-12.0,-34.5,Risers,M,0.0,0.0,40.0,80.0,
K9-B,2002,-12.0,-34.5,Caissons,M,0.0,0.0,50.0,60.0,
K9-B,2002,-12.0,-34.5,Conductors,M,0.0,0.0,100.0,90.0,
K9-B,2002,3.0,0.0,Row 1,A,,,,,
K9-B,2002,3.0,0.0,Row 2,A,,,,,
K9-B,2002,3.0,0.0,Row A,A,,,,,
K9-B,2002,3.0,0.0,Row B,A,,,,,
K9-B,2002,0.0,-12.0,Row 1,A,,,,,
K9-B,2002,0.0,-12.0,Row 2,A,,,,,
K9-B,2002,0.0,-12.0,Row A,A,,,,,
K9-B,2002,0.0,-12.0,Row B,A,,,,,
K9-B,2002,-12.0,-34.5,Row 1,A,,,,,
K9-B,2002,-12.0,-34.5,Row 2,A,,,,,
K9-B,2002,-12.0,-34.5,Row A,A,,,,,
K9-B,2002,-12.0,-34.5,Row B,A,,,,,
K9-B,2002,-12.0,-12.0,Level 1 ,A,,,,,
K9-B,2002,-12.0,-12.0,Conductor Field,A,,,,,
K9-B,2002,-34.5,-34.5,Level 2,A,,,,,
K9-B,2002,-34.5,-34.5,Conductor Field ,A,,,,,
K9-B,2000,3.0,-12.0,Rows and Elevations,A,41.0,40.0,44.0,14.0,
K9-B,2000,3.0,-12.0,Risers,A,30.0,50.0,70.0,20.0,
K9-B,2000,3.0,-12.0,Caissons,A,75.0,50.0,35.0,10.0,
K9-B,2000,3.0,-12.0,Conductors,A,48.0,50.0,23.0,7.0,
K9-B,2000,-12.0,-34.5,Rows and Elevations,A,0.0,0.0,83.0,43.0,
K9-B,2000,-12.0,-34.5,Risers,A,0.0,0.0,70.0,60.0,
K9-B,2000,-12.0,-34.5,Caissons,A,0.0,0.0,70.0,15.0,
K9-B,2000,-12.0,-34.5,Conductors,A,0.0,0.0,88.0,52.0,
K9-B,2000,3.0,-12.0,Rows and Elevations,M,90.0,50.0,80.0,30.0,
K9-B,2000,3.0,-12.0,Risers,M,30.0,50.0,70.0,20.0,
K9-B,2000,3.0,-12.0,Caissons,M,100.0,50.0,70.0,20.0,
K9-B,2000,3.0,-12.0,Conductors,M,90.0,50.0,70.0,20.0,
K9-B,2000,-12.0,-34.5,Rows and Elevations,M,0.0,0.0,90.0,60.0,
K9-B,2000,-12.0,-34.5,Risers,M,0.0,0.0,70.0,60.0,
K9-B,2000,-12.0,-34.5,Caissons,M,0.0,0.0,70.0,15.0,
K9-B,2000,-12.0,-34.5,Conductors,M,0.0,0.0,100.0,60.0,
K9-B,2000,3.0,0.0,Row 1,A,,,,,
K9-B,2000,3.0,0.0,Row 2,A,,,,,
K9-B,2000,3.0,0.0,Row A,A,,,,,
K9-B,2000,3.0,0.0,Row B,A,,,,,
K9-B,2000,0.0,-12.0,Row 1,A,,,,,
K9-B,2000,0.0,-12.0,Row 2,A,,,,,
K9-B,2000,0.0,-12.0,Row A,A,,,,,
K9-B,2000,0.0,-12.0,Row B,A,,,,,
K9-B,2000,-12.0,-34.5,Row 1,A,,,,,
K9-B,2000,-12.0,-34.5,Row 2,A,,,,,
K9-B,2000,-12.0,-34.5,Row A,A,,,,,
K9-B,2000,-12.0,-34.5,Row B,A,,,,,
K9-B,2000,-12.0,-12.0,Level 1 ,A,,,,,
K9-B,2000,-12.0,-12.0,Conductor Field,A,,,,,
K9-B,2000,-34.5,-34.5,Level 2,A,,,,,
K9-B,2000,-34.5,-34.5,Conductor Field ,A,,,,,
